arch,epochs,batch_size,lr,val_acc,val_loss,macro_precision,macro_recall,macro_f1
efficientnet_b0,10,32,0.001,1.000000,0.004645,1.000000,1.000000,1.000000
efficientnet_b0,15,32,0.0001,1.000000,0.005955,1.000000,1.000000,1.000000
